filename,class,xmin,ymin,xmax,ymax
Cats_Test0.png,cat,83,29,197,142
Cats_Test1.png,dog,128,22,240,222
Cats_Test10.png,dog,157,56,264,116
Cats_Test100.png,cat,142,145,206,209
Cats_Test1000.png,cat,36,14,289,312
Cats_Test1001.png,dog,140,80,229,152
Cats_Test1002.png,cat,178,107,294,223
Cats_Test1003.png,dog,148,39,355,244
Cats_Test1004.png,dog,53,27,239,121
Cats_Test1005.png,cat,65,16,294,221
Cats_Test1006.png,dog,95,20,299,290
Cats_Test1007.png,cat,225,52,381,195
Cats_Test1008.png,cat,108,149,199,229
Cats_Test1009.png,dog,70,48,168,120
Cats_Test101.png,cat,134,79,297,234
Cats_Test1010.png,cat,36,65,137,172
Cats_Test1011.png,cat,112,64,217,164
Cats_Test1012.png,dog,94,36,378,263
Cats_Test1013.png,dog,130,38,237,132
Cats_Test1014.png,cat,195,61,374,177
Cats_Test1015.png,dog,94,35,235,136
Cats_Test1016.png,dog,120,1,331,222
Cats_Test1017.png,cat,336,15,486,158
Cats_Test1018.png,dog,102,42,208,146
Cats_Test1019.png,cat,160,6,416,265
Cats_Test102.png,cat,165,30,327,187
Cats_Test1020.png,dog,194,121,295,228
Cats_Test1021.png,cat,86,28,306,258
Cats_Test1022.png,dog,85,43,210,164
Cats_Test1023.png,cat,158,3,384,183
Cats_Test1024.png,dog,65,36,199,166
Cats_Test1025.png,dog,274,84,402,207
Cats_Test1026.png,cat,1,42,328,308
Cats_Test1027.png,cat,224,41,394,216
Cats_Test1028.png,dog,83,1,217,147
Cats_Test1029.png,cat,1,100,375,453
Cats_Test103.png,dog,95,17,258,167
Cats_Test1030.png,dog,255,30,354,111
Cats_Test1031.png,dog,100,15,241,135
Cats_Test1032.png,cat,203,7,343,159
Cats_Test1033.png,dog,87,26,288,249
Cats_Test1034.png,cat,131,80,432,366
Cats_Test1035.png,cat,118,10,292,217
Cats_Test1036.png,dog,84,17,223,138
Cats_Test1037.png,dog,88,85,266,231
Cats_Test1038.png,cat,102,15,272,204
Cats_Test1039.png,dog,126,104,248,197
Cats_Test104.png,cat,198,108,275,190
Cats_Test1040.png,cat,339,90,422,166
Cats_Test1041.png,dog,68,96,199,248
Cats_Test1042.png,cat,165,31,356,235
Cats_Test1043.png,cat,38,92,136,192
Cats_Test1044.png,dog,222,188,406,348
Cats_Test1045.png,cat,98,105,246,255
Cats_Test1046.png,dog,23,135,293,422
Cats_Test1047.png,dog,103,47,330,268
Cats_Test1048.png,dog,220,38,347,235
Cats_Test1049.png,dog,139,136,368,297
Cats_Test105.png,cat,205,46,277,115
Cats_Test1050.png,dog,151,166,249,263
Cats_Test1051.png,dog,125,50,257,173
Cats_Test1052.png,dog,170,87,222,159
Cats_Test1053.png,cat,111,47,240,154
Cats_Test1054.png,dog,86,1,187,107
Cats_Test1055.png,cat,17,25,206,180
Cats_Test1056.png,dog,224,36,437,219
Cats_Test1057.png,cat,215,23,393,176
Cats_Test1058.png,dog,127,26,333,305
Cats_Test1059.png,cat,138,107,259,227
Cats_Test106.png,dog,110,53,330,247
Cats_Test1060.png,dog,79,1,268,267
Cats_Test1061.png,dog,177,75,262,206
Cats_Test1062.png,dog,115,106,341,255
Cats_Test1063.png,dog,68,6,153,67
Cats_Test1064.png,cat,39,51,156,179
Cats_Test1065.png,cat,212,86,289,176
Cats_Test1066.png,dog,39,21,263,320
Cats_Test1067.png,cat,195,49,248,107
Cats_Test1068.png,dog,140,132,230,208
Cats_Test1069.png,dog,208,21,381,155
Cats_Test107.png,cat,79,14,228,203
Cats_Test1070.png,cat,277,64,404,191
Cats_Test1071.png,cat,221,21,454,277
Cats_Test1072.png,dog,225,80,315,170
Cats_Test1073.png,cat,71,1,182,109
Cats_Test1074.png,cat,20,10,176,169
Cats_Test1075.png,dog,80,64,233,174
Cats_Test1076.png,dog,191,54,390,257
Cats_Test1077.png,dog,132,52,277,165
Cats_Test1078.png,cat,293,49,443,193
Cats_Test1079.png,dog,130,85,330,260
Cats_Test108.png,cat,144,53,275,197
Cats_Test1080.png,dog,107,56,455,308
Cats_Test1081.png,cat,84,17,225,160
Cats_Test1082.png,dog,68,24,388,303
Cats_Test1083.png,dog,134,96,369,330
Cats_Test1084.png,dog,98,1,299,201
Cats_Test1085.png,dog,36,40,192,216
Cats_Test1086.png,dog,140,100,295,247
Cats_Test1087.png,dog,256,110,340,193
Cats_Test1088.png,dog,100,92,255,236
Cats_Test1089.png,dog,307,80,409,157
Cats_Test109.png,dog,124,176,336,418
Cats_Test1090.png,cat,315,60,446,219
Cats_Test1091.png,dog,141,13,313,202
Cats_Test1092.png,dog,143,94,302,214
Cats_Test1093.png,dog,129,86,235,194
Cats_Test1094.png,dog,43,57,422,322
Cats_Test1095.png,dog,93,44,215,126
Cats_Test1096.png,dog,211,131,276,195
Cats_Test1097.png,dog,95,54,193,155
Cats_Test1098.png,cat,96,35,234,185
Cats_Test1099.png,cat,120,1,441,280
Cats_Test11.png,cat,160,21,340,230
Cats_Test110.png,dog,232,105,333,190
Cats_Test1100.png,dog,68,58,468,364
Cats_Test1101.png,cat,81,28,222,188
Cats_Test1102.png,dog,187,24,469,317
Cats_Test1103.png,cat,68,73,242,251
Cats_Test1104.png,cat,170,15,402,269
Cats_Test1105.png,dog,101,65,215,156
Cats_Test1106.png,dog,145,1,426,287
Cats_Test1107.png,cat,129,27,359,248
Cats_Test1108.png,dog,107,34,343,270
Cats_Test1109.png,dog,170,141,243,252
Cats_Test111.png,dog,124,4,375,242
Cats_Test1110.png,dog,388,163,486,287
Cats_Test1111.png,dog,269,168,334,233
Cats_Test1112.png,cat,270,76,329,140
Cats_Test1113.png,cat,177,1,336,160
Cats_Test1114.png,dog,191,48,427,236
Cats_Test1115.png,dog,94,47,296,321
Cats_Test1116.png,cat,222,41,346,171
Cats_Test1117.png,dog,89,110,231,263
Cats_Test1118.png,dog,112,111,280,280
Cats_Test1119.png,dog,175,113,255,188
Cats_Test112.png,dog,256,88,478,278
Cats_Test1120.png,dog,103,1,442,322
Cats_Test1121.png,cat,117,54,268,184
Cats_Test1122.png,dog,149,103,321,252
Cats_Test1123.png,dog,269,68,396,177
Cats_Test1124.png,dog,164,116,226,162
Cats_Test1125.png,dog,135,62,409,277
Cats_Test1126.png,cat,84,1,242,182
Cats_Test1127.png,dog,171,19,341,296
Cats_Test1128.png,cat,42,31,262,268
Cats_Test1129.png,dog,47,62,108,140
Cats_Test113.png,cat,76,10,257,148
Cats_Test1130.png,dog,227,62,451,292
Cats_Test1131.png,dog,158,113,267,231
